"word","type","condition","experiment","grouping","Length","Freq_HAL","Log_Freq_HAL","MorphSp","MorphPr","NMorph","POS"
"blouse","prime","semantic-2","two","stems-from-aff",6,1685,7.43,NA,"{bl""aUs}","1","NN"
"boat","target","semantic-2","two","stems-from-aff",4,15857,9.671,NA,"{b""ot}","1","NN"
"boldly","prime","suffixed-stem","one","one",6,1261,7.14,NA,"{b""old}.>li>","2","RB"
"boldness","target","suffixed-stem","one","one",8,221,5.398,NA,"{b""old}.>n@s>","2","NN"
"bone","target","semantic-2","two","stems-from-aff",4,16063,9.684,NA,"{b""on}","1","NN|VB"
"bonsai","target","nw-w_foil","one","one",6,1800,7.496,NA,"{bAn.s""aI}","1","NN"
"boulevard","target","identity","one","one",9,2518,7.831,NA,"{b""U.l@.vArd}","1","NN"
"breakfast","prime","orthographic","one","two",9,7624,8.939,NA,"{br""Ek-.-f@st}","2","NN|VB"
"breathing","target","orthographic","one","two",9,7054,8.861,NA,"{br""iD}.>IN>","2","NN|VB"
"bright","target","stem-from-suffixed-prime","two","stem-standard",6,13726,9.527,NA,"{br""aIt}","1","JJ|NN"
"brightly","prime","suffixed-stem","one","one",8,889,6.79,NA,"{br""aIt}.>li>","2","RB"
"brightness","prime","stem-from-suffixed-prime","two","stem-standard",10,2061,7.631,NA,"{br""aIt}.>n@s>","2","NN"
"brightness","target","suffixed-stem","one","one",10,2061,7.631,NA,"{br""aIt}.>n@s>","2","NN"
"brittle","target","nw-w_foil","one","one",7,737,6.603,NA,"{br""I.4l=}","1","JJ"
"broad","prime","stem-from-affix-conds","two","stems-from-aff",5,12608,9.442,NA,"{br""Od}","1","JJ|NN"
"broadcast","prime","semantic","one","two",9,15776,9.666,NA,"{br""Od}.{k%ast}","2","NN|VB|JJ"
"broadly","prime","suffix","one","one",7,1385,7.233,NA,"{br""Od}.>li>","2","RB"
"brochure","target","orthographic","one","two",8,4609,8.436,NA,"{bro.S""Ur}","1","NN"
"brothers","prime","orthographic","one","two",8,18042,9.8,NA,"{br""V.D@`}>z>","2","NN"
"bud","target","stem-from-affix-conds","two","stems-from-aff",3,5259,8.568,NA,"{b""Vd}","1","NN|VB"
"build","prime","stem-from-affix-conds","two","stems-from-aff",5,47708,10.773,NA,"{b""Ild}","1","VB|NN"
"bunk","prime","stem-from-affix-conds","two","stems-from-aff",4,1071,6.976,NA,"{b""VNk}","1","NN|VB"
"captive","prime","semantic","one","two",7,2136,7.667,NA,"{k""ap.t--Iv}","2","JJ|NN"
"castle","prime","semantic-2","two","stems-from-aff",6,11629,9.361,NA,"{k""a.sl=}","1","NN"
"catalogs","prime","semantic","one","two",8,6966,8.849,NA,"{k""a.4@.lOg}>z>","2","NN"
"cellular","target","semantic","one","two",8,7932,8.979,NA,"{s""E.l--j@l$}.>@`>","3","JJ"
"chair","target","nw-w_foil","two","stem-standard",5,18589,9.83,NA,"{tS""Er}","1","NN|VB"
"cheap","target","identity","two","stem-standard",5,34326,10.444,NA,"{tS""ip}","1","JJ|RB|NN"
"chemical","target","semantic","one","two",8,15316,9.637,NA,"{k""E.m--I.kl=}","2","NN|JJ"
"cigar","prime","semantic-2","two","stems-from-aff",5,1240,7.123,NA,"{sI.g""Ar}","1","NN"
"civil","target","stem-from-affix-conds","two","stems-from-aff",5,27980,10.239,NA,"{s""I.vl=}","1","JJ|NN"
"civility","target","suffix","one","one",8,674,6.513,NA,"{s@.v""Il$}.>@.4i>","2","NN"
"claim","prime","stem-from-affix-conds","two","stems-from-aff",5,56597,10.944,NA,"{kl""em}","1","NN|VB"
"classical","target","semantic","one","two",9,12132,9.404,NA,"{kl""as$}.>Ik>.>l=>","3","JJ"
"clear","target","stem-from-affix-conds","two","stems-from-aff",5,77302,11.255,NA,"{kl""Ir}","1","JJ|VB|RB"
"click","target","nw-w_foil","two","stem-standard",5,20057,9.906,NA,"{kl""Ik}","1","NN|VB"
"clinical","prime","semantic","one","two",8,8913,9.095,NA,"{kl""I.nIk}.>l=>","2","JJ"
"close","target","stem-from-affix-conds","two","stems-from-aff",5,84927,11.35,NA,"{kl""oz}","1","VB"
"collide","target","nw-w_foil","one","one",7,670,6.507,NA,"{k@.l""aId}","1","VB"
"cologne","target","identity","one","one",7,953,6.86,NA,"{k@.l""on}","1","NN"
"color","target","stem-from-suffixed-prime","two","stem-standard",5,74865,11.223,NA,"{k""V.l@`}","1","NN|VB"
"colorful","prime","stem-from-suffixed-prime","two","stem-standard",8,2462,7.809,NA,"{k""V.l@`}.>fl=>","2","JJ"
